Sep=,
DAQ,Date,Time,A0,A3,B5,Humidity (SCD30),CO2 (SCD30),VOC(SGP40)
1,0-1-1,0:16:41,0.22,0.24,156,32.72,481.0,32191
1,0-1-1,0:16:44,0.22,0.24,146,32.74,481.0,32198
1,0-1-1,0:16:47,0.22,0.24,136,32.76,483.0,32211
1,0-1-1,0:16:50,0.22,0.24,147,32.87,484.0,32227
1,0-1-1,0:16:53,0.22,0.24,147,32.91,482.0,32234
1,0-1-1,0:16:56,0.22,0.24,123,32.9,481.0,32243
1,0-1-1,0:17:0,0.22,0.24,132,32.9,482.0,32250
1,0-1-1,0:17:3,0.22,0.24,127,32.91,484.0,32263
1,0-1-1,0:17:6,0.22,0.24,121,32.96,484.0,32271
1,0-1-1,0:17:9,0.22,0.24,129,32.9,484.0,32274
1,0-1-1,0:17:12,0.22,0.24,134,32.93,483.0,32287
1,0-1-1,0:17:15,0.22,0.24,133,32.93,483.0,32278
1,0-1-1,0:17:18,0.22,0.24,112,32.95,484.0,32303
1,0-1-1,0:17:22,0.22,0.24,140,32.96,486.0,32307
1,0-1-1,0:17:25,0.22,0.24,131,33.03,485.0,32314
1,0-1-1,0:17:28,0.22,0.24,128,32.97,484.0,32319
1,0-1-1,0:17:31,0.22,0.24,128,32.99,483.0,32338
1,0-1-1,0:17:34,0.22,0.24,116,33.0,483.0,32347
1,0-1-1,0:17:37,0.22,0.24,118,33.02,482.0,32355
1,0-1-1,0:17:41,0.22,0.24,121,33.03,481.0,32362
1,0-1-1,0:17:44,0.22,0.24,134,33.03,481.0,32351
1,0-1-1,0:17:47,0.22,0.24,120,33.09,479.0,32358
1,0-1-1,0:17:50,0.22,0.24,136,33.07,478.0,32367
1,0-1-1,0:17:53,0.22,0.24,115,33.07,476.0,32375
1,0-1-1,0:17:56,0.22,0.24,131,33.09,477.0,32390
1,0-1-1,0:18:0,0.22,0.24,95,33.12,477.0,32411
1,0-1-1,0:18:3,0.22,0.24,109,33.09,478.0,32410
1,0-1-1,0:18:6,0.22,0.24,114,33.19,476.0,32427
1,0-1-1,0:18:9,0.22,0.24,114,33.22,476.0,32443
1,0-1-1,0:18:12,0.22,0.24,90,33.24,476.0,32446
1,0-1-1,0:18:15,0.22,0.24,121,33.23,477.0,32463
1,0-1-1,0:18:18,0.22,0.24,88,33.24,477.0,32474
1,0-1-1,0:18:22,0.22,0.24,110,33.28,478.0,32483
1,0-1-1,0:18:25,0.22,0.24,93,33.23,477.0,32499
1,0-1-1,0:18:28,0.22,0.24,117,33.27,477.0,32494
1,0-1-1,0:18:31,0.22,0.24,119,33.25,477.0,32491
1,0-1-1,0:18:34,0.22,0.24,109,33.25,475.0,32506
1,0-1-1,0:18:37,0.22,0.24,101,33.24,475.0,32515
1,0-1-1,0:18:41,0.22,0.24,125,33.25,472.0,32531
1,0-1-1,0:18:44,0.22,0.24,105,33.28,471.0,32550
1,0-1-1,0:18:47,0.22,0.24,94,33.33,471.0,32559
1,0-1-1,0:18:50,0.22,0.24,140,33.3,471.0,32558
1,0-1-1,0:18:53,0.22,0.24,80,33.3,471.0,32571
1,0-1-1,0:18:56,0.21,0.24,107,33.33,471.0,32579
1,0-1-1,0:19:0,0.22,0.24,101,33.31,471.0,32578
1,0-1-1,0:19:3,0.22,0.24,112,33.32,472.0,32599
1,0-1-1,0:19:6,0.22,0.24,111,33.3,471.0,32602
1,0-1-1,0:19:9,0.22,0.24,106,33.25,469.0,32615
1,0-1-1,0:19:12,0.22,0.24,95,33.3,469.0,32607
1,0-1-1,0:19:15,0.22,0.24,120,33.27,471.0,32622
1,0-1-1,0:19:18,0.22,0.24,98,33.29,470.0,32643
1,0-1-1,0:19:22,0.22,0.24,85,33.35,471.0,32654
1,0-1-1,0:19:25,0.22,0.24,131,33.35,469.0,32655
1,0-1-1,0:19:28,0.22,0.24,60,33.38,468.0,32663
1,0-1-1,0:19:31,0.22,0.24,108,33.42,465.0,32674
1,0-1-1,0:19:34,0.22,0.24,115,33.4,465.0,32691
1,0-1-1,0:19:37,0.22,0.24,98,33.52,466.0,32698
1,0-1-1,0:19:41,0.22,0.24,114,33.5,463.0,32715
1,0-1-1,0:19:44,0.22,0.24,93,33.5,464.0,32731
1,0-1-1,0:19:47,0.22,0.24,103,33.51,464.0,32742
1,0-1-1,0:19:50,0.22,0.24,111,33.52,467.0,32743
1,0-1-1,0:19:53,0.22,0.24,91,33.5,468.0,32738
1,0-1-1,0:19:56,0.22,0.24,79,33.47,466.0,32755
1,0-1-1,0:20:0,0.22,0.24,85,33.47,465.0,32747
1,0-1-1,0:20:3,0.22,0.24,65,33.42,465.0,32742
1,0-1-1,0:20:6,0.22,0.24,101,33.36,464.0,32759
1,0-1-1,0:20:9,0.22,0.24,106,33.37,462.0,32766
1,0-1-1,0:20:12,0.22,0.24,96,33.39,462.0,32787
